"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Analiza utjecaja teorije agenata u privatnim i javnim poduzećima na primjeru hrvatskog zdravstvenog sustava","https://scispace.com/paper/analiza-utjecaja-teorije-agenata-u-privatnim-i-javnim-2e0ftn8x8m","2018","Journal Article","","Martina Sopta
Mihaela Mikić
Matej Botički","10.32676/N.3.9","https://scispace.com/pdf/analiza-utjecaja-teorije-agenata-u-privatnim-i-javnim-2e0ftn8x8m.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses agent theory to discuss efficiency gaps and multiple principals in Croatia's health system, touching on human capital and barriers, but lacks Institutional Throughput, Systems Theory integration, modeling, or explicit policy recommendations.","Republika Hrvatska godinama se suočava s izazovom održivosti vlastitog zdravstvenog sustava zbog neučinkovitosti ustanova javne zdravstvene zaštite. Prevladava mišljenje kako uzrok tome leži u samoj strukturi zdravstvenog sustava, koji pruža zdravstvenu zaštitu svim građanima. Ovaj rad nastoji istražiti mogu li javne zdravstvene ustanove biti učinkovitije unatoč samoj strukturi sustava. Osnovna pretpostavka rada je da su javne zdravstvene ustanove neučinkovite zbog utjecaja agencijske teorije. Da bismo ispitali tu pretpostavku, potrebno je usporediti javne i privatne zdravstvene ustanove. Cilj ovog rada je utvrditi postoji li veći utjecaj agencijske teorije u ustanovama javnog zdravstva u odnosu na različiti utjecaj privatnog i javnog vlasništva na metode upravljanja. Metodologija istraživanja odnosi se na financijsku analizu odabranih privatnih i javnih zdravstvenih ustanova. Ispitivanje stručne osposobljenosti ravnatelja u ustanovama pokazalo je da nema velikih razlika u udjelu stručnjaka iz područja ekonomije u privatnim i javnim institucijama. Analiza učinkovitosti temeljena na specifičnim ustanovama pokazala je da su javne zdravstvene ustanove neučinkovitije od privatnih s obzirom na upravljanje troškovima. Na temelju toga zaključak je da je utjecaj agencijske teorije dominantniji u javnim zdravstvenim ustanovama."
"Designing policies that could work: understanding the interaction between policy design spaces and organizational responses in public sector","https://scispace.com/paper/designing-policies-that-could-work-understanding-the-3m6zz4jykj","2024","Journal Article","Policy Sciences","Giliberto Capano
Benedetto Lepori","10.1007/s11077-024-09521-0","","- **Relevance Score:** 13/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses four‑country case study of performance‑based funding to show how policy design shapes compliance and gaming. Lacks Institutional Throughput or Systems Theory integration, does not model human‑capital conversion, but discusses implementation frictions and offers limited policy guidance.","Abstract The goal of this paper is to contribute toward bridging the gap between policy design and implementation by focusing on domains, such as education, healthcare and community services, where policy implementation is largely left to the autonomous decision of public service providers, which are strategic actors themselves. More specifically, we suggest that two characteristics of policy design spaces in which policies are designed, i.e., the level of ideational coherence and the prevailing function of the adopted policy instruments, generate systematic patterns of responses in terms of the extent of compliance with policy goals, the presence of strategic gaming and possible defiance. We illustrate our model through a contrastive case study of the introduction of performance-based funding in the higher education sector in four European countries (France, Italy, Norway, and the United Kingdom). Our analysis displays that policy designs chosen by governments to steer public systems have different trade-offs in terms of responses of the public organizations involved that are essential to effectively implement governmental policies. The model we are proposing provides therefore a framework to understand how these interactions unfold in specific contexts, what are their effects on the achievement of policy goals and how policymakers could exploit their degrees of freedom in policy design to reduce unwanted effects. "
"Organizational Capacity","https://scispace.com/paper/organizational-capacity-zg3k4qrxh4z2","","","","Michael M. Ting","10.1093/jleo/ewp021","","- **Relevance Score:** 13/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses formal modeling of capacity investment to analyze implementation outcomes; lacks Institutional Throughput or Systems Theory, human‑capital focus, and empirical case work.","Organizational capacity is critical to the effective implementation of policy. Consequently, strategic legislators and bureaucrats must take capacity into account in designing programs. This article develops a theory of endogenous organizational capacity. Capacity is modeled as an investment that affects a policy's subsequent quality or implementation level. The agency has an advantage in providing capacity investments and may therefore constrain the legislature's policy choices. A key variable is whether investments can be ""targeted"" toward specific policies. If it cannot, then implementation levels decrease with the divergence in the players' ideal points and policy-making authority may be delegated to encourage investment. If investment can be targeted, then implementation levels increase with the divergence of ideal points if the agency is sufficiently professionalized, and no delegation occurs. In this case, the agency captures more benefits from its investment, and capacity is higher. The agency therefore prefers policy-specific technology. (JEL D72, D73)"
"Human Capital Development and Asset Optimization: A Conceptual Framework for Reducing Asset Mismanagement","https://scispace.com/paper/human-capital-development-and-asset-optimization-a-126ewfu5e9kl","2025","Journal Article","International Journal of Academic Research in Progressive Education and Development","Susana Santy
Putri Firdiah Karim
Guntur Noerman Sanjaya
Norziana Lokman
Fazlida Mohd Razali","10.6007/ijarped/v14-i3/26619","","- **Relevance Score:** 13/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses human‑capital training and talent management to address asset mismanagement; offers concrete recommendations for governance and optimization, but lacks ITT, systems lens, empirical data, or modeling.","Asset mismanagement has been identified as a critical governance challenge across both public and private institutions worldwide, resulting in significant financial losses, inefficiencies, and reputational damage. This conceptual paper explores the role of human capital development in mitigating asset mismanagement through a framework that integrates capacity building, ethical leadership, and optimization strategies. Drawing upon global evidence, the paper argues that asset mismanagement is not merely a technical issue of systems and procedures but fundamentally a human issue linked to skill gaps, weak accountability, and organisational culture. The proposed conceptual framework emphasizes the integration of human capital strategies, including training, talent management, and governance awareness, with asset optimization approaches such as lifecycle management, digitalization, and performance measurement. By linking these elements, the paper offers a pathway to reducing mismanagement risks and enhancing sustainable institutional performance. "
"Network Theory in the Public Sector : Building New Theoretical Frameworks","https://scispace.com/paper/network-theory-in-the-public-sector-building-new-theoretical-28qt7k7j02","2014","Monograph","","Robyn L Keast
Myrna Mandell
Robert Agranoff","10.4324/9780203752562","","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses network theory to discuss governance and collaborative advantage, offering systems‑like perspectives and efficiency insights, but lacks Institutional Throughput focus, human‑capital analysis, empirical cases, or formal modeling.","Part 1. Introduction to the Issues/Current Network Theories 1. Introduction: Understanding Theory Myrna P. Mandell 2. Network Theory Tracks and Trajectories: Where From, Where To? Robyn Keast Part 2. New Theoretical Frameworks: Informing Design, Governance Arrangements and Management 3. A Composite Theory of Leadership and Management: Process Catalyst and Strategic Leveraging-Theory of Deliberate Action in Collaborative Networks Robyn Keast and Myrna P. Mandell 4. Building and Using the Theory of Collaborative Advantage Siv Vangen and Chris Huxham 5. The Democratic Potentials of Governance Networks in Inter- Governmental Decision Making Eva Sorensen 6. Governance Network Performance: A Complex Adaptive Systems Approach Christopher Koliba 7. Governing Through Networks: A Systemic Approach Deborah Rice 8. Network Management Theory through Management Channels and Roles Joris Voets Part 3. Putting Theory into Practice 9. Network Management Behaviors: Closing the Theoretical Gap Robert Agranoff and Michael McGuire 10. What Can Governance Network Theory Learn From Complexity Theory? Mirroring Two Perspectives on Complexity Joop Koppenjan and Erik-Hans Klijn 11. Network Performance: Towards A Dynamic Multidimensional Model Denita Cepiku Part 4. Implications and Conclusion 12. Bridging the Theoretical Gap and Uncovering the Missing Holes Robert Agranoff"
"Public value creation and strategic human resource management: Public service motivation as a linking mechanism","https://scispace.com/paper/public-value-creation-and-strategic-human-resource-1rzxvq4skt","2013","Other","","Wouter Vandenabeele
Peter Leisink
Eva Knies","10.4337/9781781006962.00010","","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses public service motivation to link HR practices with value creation, touching on human capital use and efficiency, but lacks Institutional Throughput or Systems Theory integration, empirical case, modeling, or barrier analysis.","2 Public management contributions for improving social service performance: public values, public service motivation and rule functionality 19 Gene A. Brewer 3 Public value creation and strategic human resource management: public service motivation as a linking mechanism 37 Wouter Vandenabeele, Peter Leisink and Eva Knies 4 Academia: habitat of contesting public values? 55 Henk J. van Rinsum and Arie de Ruijter 5 Public value and localism in the UK 71 Keith Grint and Clare Holt 6 The organization of social issues through sport: youths in public playgrounds 88 Jeroen Vermeulen"
"Development of knowledge economy framework in the life science sector in the Kingdom of Saudi Arabia","https://scispace.com/paper/development-of-knowledge-economy-framework-in-the-life-4cyl601ebp","2018","Dissertation","","Omar A. Al-Harbi","10.23889/SUTHESIS.43855","https://scispace.com/pdf/development-of-knowledge-economy-framework-in-the-life-4cyl601ebp.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses systems theory to frame Saudi life‑science innovation network; mentions human capital importance but lacks throughput theory, public‑sector focus, empirical case, modeling, or policy friction analysis.","Use policy: _________________________________________________________________________  This item is brought to you by Swansea University. Any person downloading material is agreeing to abide by the terms of the repository licence: copies of full text items may be used or reproduced in any format or medium, without prior permission for personal research or study, educational or non-commercial purposes only. The copyright for any work remains with the original author unless otherwise specified. The full-text must not be sold in any format or medium without the formal permission of the copyright holder. Permission for multiple reproductions should be obtained from the original author."
"Dictionary of Public Administration Management","https://scispace.com/paper/dictionary-of-public-administration-management-2ppwosnv","2022","Book","","","10.51936/978-961-295-026-2","https://scispace.com/pdf/dictionary-of-public-administration-management-2ppwosnv.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses systems theory to analyze public administration holistically, highlighting feedback and open‑system dynamics; lacks Institutional Throughput Theory, human‑capital focus, empirical case, or modeling.",""
"Efficiency of Public Sector Organizations: Perspectives from Theories of Bureaucracy","https://scispace.com/paper/efficiency-of-public-sector-organizations-perspectives-from-5bkq4atxld","2013","Journal Article","Journal of Advanced Research in Law and Economics","Taptuk Emre Erkoc","","https://mpra.ub.uni-muenchen.de/49386/1/MPRA_paper_49386.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses bureaucracy theory to discuss public‑sector efficiency and incentive‑related barriers; lacks Institutional Throughput, Systems Theory, human‑capital focus, empirical case, or formal modelling.","Economic insights on the provision of public goods and services by public sector organizations went hand in hand with probing questions on the efficient allocation of resources within them concerning neo-classical assumptions on the theory of firm (Coase, 1937; Alchian and Demsetz, 1972). The rationale behind the unprecedented divergences from the neo-classical firm postulations on the basis of not-to-operate at the efficient production frontier has attracted attentions of researchers working not only on the private firms but also on the public sector. This paper investigates theoretical underpinnings of efficient allocation of resources within public sector organizations on the basis of a variety of arguments. Before examining the (in) efficient usage of resources in the public sector that is mostly based on the theory of bureaucracy, methodological and practical challenges to measure the efficiency performances of public intuitions are visited. Subsequently, institutional framework on the public provision of goods and services is scrutinised referring particularly to the discussion on incentive schemes and efficiency."
"Understanding Policy Implementation Processes as Self-Organizing Systems","https://scispace.com/paper/understanding-policy-implementation-processes-as-self-2ei5efel9j","2008","Journal Article","Public Management Review","Michael J.R. Butler
Peter M. Allen","10.1080/14719030802002923","https://scispace.com/pdf/understanding-policy-implementation-processes-as-self-2ei5efel9j.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses self‑organizing systems lens to explain unpredictable policy implementation; mentions emergent processes and barriers but lacks Institutional Throughput Theory, human‑capital focus, efficiency metrics, and formal modelling.","Implementation studies and related research in organizational theory can be enhanced by drawing on the field of complex systems to understand better and, as a consequence, more successfully manage change. This article reinterprets data previously published in the British Journal of Management to reveal a new contribution, that policy implementation processes should be understood as a self-organizing system in which adaptive abilities are extremely important for stakeholders. In other words, national policy is reinterpreted at the local level, with each local organization uniquely mixing elements of national policy with their own requirements making policy implementation unpredictable and more sketchy. The original article explained different paces and directions of change in terms of traditional management processes: leadership, politics, implementation and vision. By reinterpreting the data, it is possible to reveal that deeper level processes, which are more emergent, are also at work influencing change, which the authors label possibility space. Implications for theory, policy and practice are identified."
"Causality between high-performance work systems and organizational performance","https://scispace.com/paper/causality-between-high-performance-work-systems-and-1s2tymqnks","2017","Journal Article","Journal of Management","Duckjung Shin
Alison M. Konrad","10.1177/0149206314544746","https://www.academia.edu/download/38023490/Shin_Journal_of_Management-2014.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses systems theory to examine HR practices; focuses on converting human capital via high‑performance work systems, but lacks institutional throughput framing, public‑sector context, and policy‑implementation analysis.",""
"… public sector performance: studying the impact of ability-, motivation-and opportunity-enhancing human resources practices on various performance outcomes in the …","https://scispace.com/paper/yh4Uc0gXsxIJ","","","","B Vermeeren","","","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on HR practices affecting effectiveness and efficiency, offering limited empirical insight but lacks Institutional Throughput or Systems Theory integration and policy‑friction analysis.",""
"Internal Financial Controls and Working Capital Management in Public Universities in Uganda: A Case Study of Makerere University Kampala","https://scispace.com/paper/internal-financial-controls-and-working-capital-management-4vkij38lx2","2020","Journal Article","International Journal of Business Administration","Eric Nzibonera
James Ninsiima","10.5430/IJBA.V11N3P72","https://scispace.com/pdf/internal-financial-controls-and-working-capital-management-4vkij38lx2.pdf","- **Relevance Score:** 11/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses regression analysis on Makerere University data to assess internal controls and working capital; lacks Institutional Throughput or Systems Theory, human‑capital focus, and policy‑friction analysis.","The objective of the study is to examine the extent to which internal financial controls affect working capital management in Public Universities in Uganda. Working capital is vital for running of institutions because it provides the financial liquidity needed to effectively manage day-today operations. A cross-sectional research design was adopted using a quantitative approach. Data was collected from staff of Finance and Internal Audit Directorates, and heads of Departments, Schools and Colleges of Makerere University using a self- administered closed ended questionnaire. Empirical data was analyzed using descriptive statistics, Pearson’s correlation and regression tests. Findings indicate that the elements of internal financial controls which include; the control environment, risk assessment process and budget control have a positive and significant effect. The effect of control activities is not statistically significant. Therefore, Public Universities should strengthen financial control policies and procedures, risk assessment processes and budgetary control mechanisms to effectively manage working capital."
"Efektivitas Implementasi Kebijakan Publik dalam Mewujudkan Pelayanan Publik yang Responsif: Tinjauan Teoritis dan Empiris","https://scispace.com/paper/efektivitas-implementasi-kebijakan-publik-dalam-mewujudkan-1cjmakpdkcnr","2025","Journal Article","Jurnal Riset Rumpun Ilmu Sosial, Politik dan Humaniora","Addawiyah Addawiyah
Lolita Febrian
Nurul Fadillah","10.55606/jurrish.v4i1.4438","","- **Relevance Score:** 10/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses literature review to link implementation effectiveness with service quality, noting resource and coordination barriers; offers broad reform suggestions but lacks explicit Institutional Throughput or Systems Theory integration, empirical case data, or formal modeling.","This study aims to analyze the effectiveness of public policy implementation in realizing responsive public services with a literature review approach. The focus of the study is directed at conceptual understanding of the dimensions of policy effectiveness, the characteristics of responsive public services, the relationship between policy and service quality, and implementation challenges in the field. The method used is a descriptive qualitative method based on literature studies from various theoretical and empirical sources. The results of the study show that the effectiveness of implementation is highly correlated with the quality of public services, where factors such as resources, inter-agency coordination, and community involvement are the main keys to success. Bureaucratic reform strategies, capacity building of apparatus, and open and adaptive governance are needed to realize public services that truly answer the needs of the community. "
"Public Policy Implementation: Lessons for the Design. Analysis of Cases of Public Management Modernization and Health Care Reform in Chile","https://scispace.com/paper/public-policy-implementation-lessons-for-the-design-analysis-5frw6bsvw5","2017","Journal Article","","Mauricio Olavarría Gambi","10.69733/clad.ryd.n67.a128","","- **Relevance Score:** 10/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses 142 interviews and document analysis to examine Chilean reform implementation, identifying barriers and offering design lessons; lacks Institutional Throughput or Systems Theory integration, modeling, and comparative framing.","The article analyzes public policy implementation on public management modernization and health care reform occurred in Chile between 1990s and 2010s decades. The analysis is based on the framework provided by Hasenfeld and Brock (1991), whom identify the following main driving forces: the pursuit of rationality, the organization policy-fit, the bureaucratic discretion and adaptation, power relation, and leadership and competence. This work inquires whether those driving forces have been present in the implementation of the analyzed policies and, to do that, it concentrate on the political management of them, the readiness of the basic conditions, factors and necessary circumstances for the operation of the mentioned policies. The document identifies lessons to be considered for the design of public interventions. It concludes that driving forces influencing the public policy implementation process varies in correspondence to the government sector of activity they belong to. Because of that, implementation would not be a process that concrete in the same manner in the different areas of government activity. That implies that public policy design should consider this characteristic of the implementation process and, mainly, in the definition of the characteristics and profile of those who would be in charge of putting in practice the public policy. The unit of analysis is the inter-organizational network in which these public policies have been implemented. Information comes from official documents, press clippings, academic literature and 142 interviews to key actors of these policies. "
"Breves disquisiciones teóricas en torno al tema capital humano y eficiencia organizativa","https://scispace.com/paper/breves-disquisiciones-teoricas-en-torno-al-tema-capital-2c8qbeko6u","2016","","","Francisco Ganga Contreras
Aldo Cassinelli Capurro
Gustavo Díaz Santis
Silvia A. Maluk","","https://www.redalyc.org/pdf/336/33646908002.pdf","- **Relevance Score:** 10/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses human‑capital concepts to discuss organizational efficiency, but lacks Institutional Throughput or Systems Theory integration, empirical data, modeling, and policy‑implementation analysis.","El concepto de Capital Humano, entendido como el valor economico potencial de la mayor capacidad productiva de un individuo, tiene un impacto sideral en la “eficiencia” de las organizaciones o en la forma en la que ellas organizan sus recursos para conseguir los resultados esperados. Si se observa cualquier tipo de organizacion, es posible constatar que tanto las individualidades como los equipos de alto nivel pueden contribuir significativamente en la eficacia de una institucion. De igual forma la organizacion puede privilegiar la excelencia de su Capital Humano, ya sea en la adecuada asignacion de sus deberes como en la apropiada compensacion retributiva. Tomando en cuenta este contexto, el trabajo tiene como finalidad principal desarrollar breves reflexiones en relacion al tema del Capital Humano y su relacion con la eficiencia organizacional, colocando algunas referencias -a modo de ejemplo- del caso de Chile. Para lograr este proposito, se acudio a fuentes secundarias, lo cual implico una revision de articulos y documentos relacionados con el tema. Identificar los elementos de la estrecha relacion de interdependencia entre la eficiencia organizacional y el Capital Humano parece clave a la hora de querer potenciar los beneficios esperados de las instituciones, asi como al momento de disenar politicas publicas que permitan a las entidades y a los paises, contar con los mayores beneficios de la llamada “eficiencia organizativa”, alcanzado un rendimiento de excelencia. En este escenario, las personas y sus competencias son las que determinan el verdadero exito y viabilidad organizacional."
"The implementation of Health in All Policies initiatives: a systems framework for government action.","https://scispace.com/paper/the-implementation-of-health-in-all-policies-initiatives-a-5eegd1oky6","2018","Journal Article","Health Research Policy and Systems","Ketan Shankardass
Ketan Shankardass
Carles Muntaner
Lauri Kokkinen
Faraz Vahid Shahidi
Alix Freiler
Goldameir Oneka
Ahmed M. Bayoumi
Patricia O'Campo","10.1186/S12961-018-0295-Z","https://scispace.com/pdf/the-implementation-of-health-in-all-policies-initiatives-a-5eegd1oky6.pdf","- **Relevance Score:** 10/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses systems framework to map HiAP implementation across government subsystems; includes case studies of Sweden, Quebec, South Australia and offers implementation recommendations, but lacks Institutional Throughput Theory, human‑capital focus, efficiency metrics, and formal modeling.","There has been a renewed interest in broadening the research agenda in health promotion to include action on the structural determinants of health, including a focus on the implementation of Health in All Policies (HiAP). Governments that use HiAP face the challenge of instituting governance structures and processes to facilitate policy coordination in an evidence-informed manner. Due to the complexity of government institutions and the policy process, systems theory has been proposed as a tool for evaluating the implementation of HiAP. Our multiple case study research programme (HiAP Analysis using Realist Methods On International Case Studies – HARMONICS) has relied on systems theory and realist methods to make sense of how and why the practices of policy-makers (including politicians and civil servants) from specific institutional environments (policy sectors) has either facilitated or hindered the implementation of HiAP. Herein, we present a systems framework for the implementation of HiAP based on our experience and empirical findings in studying this process. We describe a system of 14 components within three subsystems of government. Subsystems include the executive (heads of state and their appointed political elites), intersectoral (the milieu of policy-makers and experts working with governance structures related to HiAP) and intrasectoral (policy-makers within policy sectors). Here, HiAP implementation is a process involving interactions between subsystems and their components that leads to the emergence of implementation outcomes, as well as effects on the system components themselves. We also describe the influence of extra-governmental systems, including (but not limited to) the academic sector, third sector, private sector and intergovernmental sector. Finally, we present a case study that applies this framework to understand the implementation of HiAP – the Health 2015 Strategy – in Finland, from 2001 onward. This framework is useful for helping to explain how, why and under what circumstances HiAP has been successfully and unsuccessfully implemented in a sustainable manner. It serves as a tool for researchers to study this process, and for policy-makers and other public health actors to manage this process."
"A Review of the Impact of Institutions on Public Sector Efficiency","https://scispace.com/paper/a-review-of-the-impact-of-institutions-on-public-sector-c6a08ewk9aph","2025","Journal Article","International Review of Management and Marketing","Salem Abdulrahman Alqasimi
Panagiotis Zervopoulos
Abu Elias Sharker
Andreas E. Fousteris","10.32479/irmm.19428","","- **Relevance Score:** 10/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Reviews institutional impact on public‑sector efficiency; lacks Institutional Throughput and Systems Theory integration, human‑capital conversion, empirical case, or modeling. Mentions efficiency and policy friction, offers general recommendations.",""
"Beyond state capacity: bureaucratic performance, policy implementation and reform","https://scispace.com/paper/beyond-state-capacity-bureaucratic-performance-policy-3xc3ylv8lc","2021","Journal Article","Journal of Institutional Economics","Martin J. Williams","10.1017/S1744137420000478","https://ora.ox.ac.uk/objects/uuid:b60163bc-5b31-4901-8c53-17de33b2f619/download_file?file_format=&safe_filename=WilliamsAAM2020.pdf&type_of_work=Journal+article","- **Relevance Score:** 10/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses bureaucratic performance critique to discuss policy implementation barriers and efficiency, but lacks Institutional Throughput or Systems Theory integration, human‑capital focus, empirical case, or formal modeling.","There is a broad consensus that state capacity is central to economic and institutional development. But while the concept originated as a tool for macro-historical and comparative analysis, its success has led the term ‘capacity’ to become a default metaphor for discussing the quality of government bureaucracies. This paper discusses the limitations to conceiving of narrower questions of bureaucratic performance and policy implementation through the lens of the broad, aggregate concept of capacity. Whereas capacity refers to bureaucracies' hypothetical potential, this usually differs from their actual actions due to internal information and incentive problems created by bureaucracies' collective nature, and the constraints and uncertainty imposed by their multiple political principals. Capacity is a convenient shorthand term and is appropriate for some purposes, but it achieves this convenience by abstracting away from the mechanisms that determine bureaucratic performance and policy implementation. To advance the study of bureaucratic quality, researchers should seek to understand the implications of bureaucracies' collective nature, engage with contextual specificity and contingency in policy implementation, and focus measurement and reform efforts more towards actual performance than hypothetical capacity."
"Evaluating the implementation of E-Government in developing countries : the case of Nigeria","https://scispace.com/paper/evaluating-the-implementation-of-e-government-in-developing-3rkrgrac27","2014","Dissertation","","Olusoyi Olatokunbo Richard Ashaye","","https://scispace.com/pdf/evaluating-the-implementation-of-e-government-in-developing-3rkrgrac27.pdf","- **Relevance Score:** 8/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses Institutional Theory to map e‑government barriers in Nigeria; provides an empirical case study. Lacks Institutional Throughput, Systems Theory, human‑capital focus, efficiency metrics, and formal modeling.","....................................................................................................................... i Acknowledgements .................................................................................................. iii Dedication ................................................................................................................... v Declaration, Biography and List of Publications ................................................... vi Declaration .............................................................................................................. vi Biography ................................................................................................................ vi List of Publications ..................................................................................................vii Table of"
"Public Management","https://scispace.com/paper/public-management-zbbhmt7rygxx","","","","Laurence J. O'Toole, Jr
Kenneth J. Meier","10.1017/cbo9780511784040","","- **Relevance Score:** 8/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses large‑scale performance data to assess public manager effectiveness, offering empirical insights but lacks Institutional Throughput or Systems Theory integration, human‑capital focus, or modeling.","How effective are public managers as they seek to influence how public organizations deliver policy results? How, and how much, is management related to the performance of public programs? What aspects of management can be distinguished? Can their separable contributions to performance be estimated? The fate of public policies in today's world lies in the hands of public organizations, which in turn are often intertwined with others in latticed patterns of governance. Collectively, these organizations are expected to generate performance in terms of policy outputs and outcomes. In this book, two award-winning researchers investigate the effectiveness of management in the public sector. Firstly, they develop a systematic theory on how effective public managers are in shaping policy results. The rest of the book then tests this theory against a wide range of evidence, including a data set of 1,000 public organizations."
"Human Capital Deployment and Organizational Efficiency: A ‎Cross-National Benchmarking Analysis of Global Workforce Distribution Patterns","https://scispace.com/paper/human-capital-deployment-and-organizational-efficiency-a-hzpf9c3vitnw","2025","Journal Article","International Journal of Accounting and Economics Studies","Ayse İlgün Kamanli
Yavuz Selim Balcıoğlu","10.14419/8tfrn889","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses cross‑national workforce data to examine human capital efficiency in private firms; lacks Institutional Throughput Theory, Systems Theory, public‑sector focus, and policy friction analysis.","The research examines human capital deployment strategies between different organizational sizes and geographic locations by analyzing ‎workforce distribution patterns across 8,395 global companies. The study uses Resource-Based View and Human Capital Theory ‎and Strategic Human Resource Management to analyze human capital as both a cost center and performance driver. The study incorporates ‎Institutional Theory and Contingency Theory , and Dynamic Capabilities to understand organizational adaptability and contextual influences. The research uses a quantitative cross-sectional design to study the connections between workforce size and market capitalization ‎and geographic origin, and sectoral distribution. The research demonstrates major differences in human capital efficiency between different ‎organizational sizes and geographic areas, and industrial sectors, which proves that standardized HR strategies are insufficient ‎and organizations need customized workforce scaling methods. The research advances human capital economics theory while providing practical guidance for global HR benchmarking and strategic workforce design‎. "
"Thresholds Are Everywhere: A Systems Approach to Public Policy","https://scispace.com/paper/thresholds-are-everywhere-a-systems-approach-to-public-tqotb9zyzx","2019","Journal Article","Bar. Brazilian Administration Review","Hamilton Coimbra Carvalho
Giuliana Isabella
José Afonso Mazzon","10.1590/1807-7692BAR2019180106","https://scispace.com/pdf/thresholds-are-everywhere-a-systems-approach-to-public-tqotb9zyzx.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses thresholds framework to analyze a Brazilian food program, offering a conceptual lens but lacks Institutional Throughput Theory integration, human‑capital focus, efficiency metrics, or formal modeling.","The analysis of public policies often fails to account for effects beyond mere cost-benefit analysis. Incorporating elements from the literature on system dynamics, complexity and legitimacy, the present paper develops a framework to understand long-term effects and important constraints for public policies. We call it the thresholds framework, considering the existence of different thresholds in the life of a policy. The framework relies on the application of conceptual lenses to understand essential aspects of the social reality. Using the proposed conceptual repertoire, the paper applies the framework to a specific policy, the Brazilian Worker Food Program (WFP), which currently benefits around 20 million employees working for 250,000 companies in Brazil. The thresholds framework incorporates legitimacy and complexity issues and it is sufficiently flexible for the pursuit of different strategies of inquiry. It may be used to guide the design of business programs in dynamic contexts, such as the ones found in modern social cause environments."
"Thresholds Are Everywhere: A Systems Approach to Public Policy","https://scispace.com/paper/thresholds-are-everywhere-a-systems-approach-to-public-36jvx17ywf","2019","Dataset","","Hamilton Coimbra Carvalho
Giuliana Isabella
José Afonso Mazzon","10.6084/m9.figshare.9696788","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses systems‑dynamics lenses to map policy thresholds; applies framework to Brazil's Worker Food Program as an empirical illustration, but lacks Institutional Throughput Theory, human‑capital focus, efficiency metrics, and formal modeling.","Abstract The analysis of public policies often fails to account for effects beyond mere cost-benefit analysis. Incorporating elements from the literature on system dynamics, complexity and legitimacy, the present paper develops a framework to understand long-term effects and important constraints for public policies. We call it the thresholds framework, considering the existence of different thresholds in the life of a policy. The framework relies on the application of conceptual lenses to understand essential aspects of the social reality. Using the proposed conceptual repertoire, the paper applies the framework to a specific policy, the Brazilian Worker Food Program (WFP), which currently benefits around 20 million employees working for 250,000 companies in Brazil. The thresholds framework incorporates legitimacy and complexity issues and it is sufficiently flexible for the pursuit of different strategies of inquiry. It may be used to guide the design of business programs in dynamic contexts, such as the ones found in modern social cause environments. "
