"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"La formation en prison : y apprend-on aussi à ne pas récidiver ? Quels liens entre formation en prison et récidive ?","https://scispace.com/paper/la-formation-en-prison-y-apprend-on-aussi-a-ne-pas-recidiver-2v88nrctko","2009","Dissertation","","Thomas Di Falco","","https://scispace.com/pdf/la-formation-en-prison-y-apprend-on-aussi-a-ne-pas-recidiver-2v88nrctko.pdf","- **Relevance Score:** 57/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses Becker's theory to assess prison education ROI, cites Florida and Jobs Corps case studies, links training to earnings, but lacks formal definition and measurement details.","Les detenus pris en charge par nos prisons helvetiques sont le plus souvent parmi les residents en Suisse les moins instruits. En effet, aux Etablissements de Bellechasse par exemple, pres de 70 % n'ont pas termine leur formation de base. On sait que la tres grande majorite des detenus en Suisse ressort un jour de prison. Que la sanction par une peine privative de liberte, quelle que soit la duree, est suivie d'une liberation. Et qu'une liberation sans preparation est vouee a un grand risque d'echec. Des lors de nombreux programmes sont proposes ou parfois imposes : suivi psychiatrique, coaching, therapies diverses, formation professionnelle, etc. Etant donne leur deficit de formation, de nombreux detenus sortant de prison sont souvent en manque de qualifications et ne parviennent pas a etre competitifs sur le marche du travail. Une longue periode de chomage equivalant helas souvent a une mise en marge de la societe, le detenu libere aura alors de fortes chances de vivre une reinsertion sociale et professionnelle difficile. Aussi, la formation de base et professionnelle proposee derriere les barreaux devrait etre un moyen de faire evoluer favorablement la tendance a la reussite de la reinsertion et d'eviter un retour dans les travers anterieurs de la delinquance. Cette formation en prison a lieu aujourd'hui dans une majorite d'etablissements penitentiaires suisses, mais nul ne sait a ce jour si la formation en prison influence effectivement le retour en liberte de l'ancien detenu, puisqu'aucune etude n'a jamais ete effectuee sur cette thematique a ce jour en Suisse. D'ou le questionnement sur la correlation suivante : y a-t-il un lien entre formation en prison et recidive ? Entre formation en prison et reincarceration, ou nouvelle sanction ? Le point de depart de cette etude est donc cette question. Pour repondre a cette interrogation, nous avons procede a une analyse quantitative de 352 detenus se trouvant aux Etablissements de Bellechasse du 01.01.1999 au 31.12.2006. En second lieu, nous nous sommes pose la question des motivations des detenus a participer, ou a ne pas prendre part aux formations et cours proposes. Aident-elles de facon decisive a leur reinsertion sociale ? Dans ce cadre, un travail de type qualitatif a ete effectue sur neuf detenus se trouvant dans le meme etablissement, mais durant l'annee 2008. Cette double analyse, quantitative d'une part, et qualitative d'autre part, permet de nuancer les chiffres, respectivement les discours des detenus. Elle a ete effectuee integralement sur le site des Etablissements de Bellechasse, situes dans le canton de Fribourg, en Suisse. Globalement, les resultats de cette etude revelent que les personnes qui ont suivi des cours durant leur peine recidivent moins que ceux qui n'en ont pas beneficie. On percoit aussi que les personnes qui se sont engagees dans une formation l'ont fait avec une perspective de sortie de prison et d'aide a la stabilisation durant et apres la peine."
"The influence of correctional education, skill proficiency, and lifelong learning on social outcomes of incarcerated individuals: Results from PIAAC","https://scispace.com/paper/the-influence-of-correctional-education-skill-proficiency-qz8020jgpl","2020","Journal Article","Social Science Journal","Roofia Galeshi
Riane M. Bolin","10.1016/J.SOSCIJ.2019.09.007","","- **Relevance Score:** 56/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses PIAAC prison data to link education, skills, lifelong learning to social outcomes, offering policy insights but lacks formal theory definition or historical context.","A rich body of scientific research suggests a positive relationship between education and social and political engagement. Active social engagement is important for incarcerated individuals if they are to successfully reintegrate into communities and desist from further involvement in crime. While a plethora of research has focused on the importance of correctional education, the extent of association between other forms of human capital such as cognitive skills and adult lifelong learning is unclear. The current study utilized data from the U.S. PIAAC Prison Study (2014) to explore the relationship between educational attainment, adult cognitive skill proficiency, lifelong learning, and social outcomes among incarcerated individuals. At least one of the three types of human capital variables included was found to be positively and significantly related to the three social outcomes of political efficacy, interpersonal trust, and health perception, even after controlling for the other two human capital variables and a number of demographics, demonstrating that each has its own, distinct contribution to social outcomes. Policy implications regarding these findings are discussed."
"Gulf-War-Era-II Veterans' Cognitive Information Processing and the Civilian Employment Transition.","https://scispace.com/paper/gulf-war-era-ii-veterans-cognitive-information-processing-265ywl8uxz","2018","","","Denita Hartfield Oyeka","","https://scispace.com/pdf/gulf-war-era-ii-veterans-cognitive-information-processing-265ywl8uxz.pdf","- **Relevance Score:** 56/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses human capital theory to examine Gulf‑War II veterans' education, training, and wage outcomes; provides veteran vs. non‑veteran comparisons, but lacks formal definitions, measurement methods, and policy guidance.","Gulf-War-Era-II Veterans’ Cognitive Information Processing and the Civilian Employment Transition by Denita Hartfield-Oyeka MS, American Military University, 2006 BA, Southern Illinois University, 2002 Dissertation Submitted in Partial Fulfillment of the Requirements for the Degree of Doctor of Philosophy Public Management & Leadership Walden University February 2018"
"A Discussion of some Applications of Human Capital Theory to Military Manpower Issues","https://scispace.com/paper/a-discussion-of-some-applications-of-human-capital-theory-to-rudoizmw14","1976","","","Mark J. Albrecht","","https://scispace.com/pdf/a-discussion-of-some-applications-of-human-capital-theory-to-rudoizmw14.pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses military training costs and draft/volunteer shifts to illustrate human capital concepts, discusses policy impacts, but lacks measurement methods and comparative group analysis.",": Since its inception, human capital theory has found a natural subject in the military. Because of its substantial investments in training, its host of essentially nontransferable skills and its unique labor contracts, the military establishment has, indeed, been a conspicuous case for application of human capital principles for policy purposes. In his seminal work, Human Capital Theory, G. S. Becker summarized the military manpower situation from a human capital point of view, thusly, 'the military is a clear example of an organization which pays at least part of training costs and does not pay market wages to skilled personnel.' Implicit in this view is the prediction that the military will have an abundance of 'students' and heavy losses of 'graduates.' When Becker provided this insightful assessment, however, the draft and draft-induced enlistments ensured an essentially infinite supply of manpower at below comparable market wage rate and at constant cost. If one, then assumes a non-infinite marginal rate of substitution between first-term and career personnel, the policy problems of procurement, utilization, and retention could be conveniently consolidated into a single policy variable, namely, yearly draft requirements. With the advent of the all-volunteer force in 1972 and the increasing technological nature of military specialties in the mid-sixties, however, massive low cost labor supply and manageable marginal rates of substitution between first-timers and careerists for technical specialties no longer existed and, consequently, the policy issues of procurement, training, and retention could no longer be addressed by a single policy variable, and therefore, new policy requirements were generated."
"Reducing Recidivism through Correctional Education: The Roles of Neoclassical and Behavioral Economics","https://scispace.com/paper/reducing-recidivism-through-correctional-education-the-roles-4rzwyolk52","2018","Journal Article","Policy Perspectives","Laura Erickson","10.4079/PP.V25I0.18353","https://scispace.com/pdf/reducing-recidivism-through-correctional-education-the-roles-4rzwyolk52.pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses correctional education to illustrate human capital for prisoners, links education investment to reduced recidivism, offers policy recommendations, but lacks formal theory definition, measurement methods, and comparative or historical analysis.","The correctional system in the United States is expensive and often punitive rather than rehabilitative. One potential way to reduce both recidivism rates and criminal justice spending is through correctional education. This paper explores the value of correctional education through both neoclassical and behavioral economic perspectives and considers potential tradeoffs and implementation challenges to expanding correctional education. Policymakers and the public at large may hesitate to provide such a service, but it is important to consider cost-effective ways to reduce recidivism. Ultimately, evidence suggests that correctional education is an effective way to reduce recidivism rates and potentially save money."
"A Human Capital Perspective On Criminal Careers","https://scispace.com/paper/a-human-capital-perspective-on-criminal-careers-48lca92qrz","2011","Journal Article","Journal of Applied Business Research","John W. Clark
William L. Davis","10.19030/JABR.V11I3.5860","https://scispace.com/pdf/a-human-capital-perspective-on-criminal-careers-48lca92qrz.pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses dynamic human‑capital model for prisoners, proposes prison education policies, but lacks formal theory definition, measurement methods, and comparative or historical analysis.","he existing economics literature has traditionally viewed crime as a choice-making process, where the potential criminal chooses among alternatives based upon the costs and benefits of each. Models by Becker, Rogers, Tullock, and Hellman, have generally portrayed the criminal choice equation as static and not allowed for the dynamic changes that may occur to the criminals aptitude, and income over long time horizons. This paper develops a dynamic choice model of criminal behavior over a criminal career including the acquisition process for both legal and criminal human capital. Psychic and monetary benefit and cost factors are discussed as well as the standard arguments concerning the probabilities of apprehension and convention. The model suggests that to alter the criminals choice pattern and, therefore, his education toward legal income-producing activities, the first instance of incarceration is the most crucial and that t(1) A learning multiplier exists for the criminal in both legal and illegal learning. (2) Greater segregation of prison populations by ordinal magnitude of offence could better separate criminal students from criminal mentors and further reduce criminal education. (3) Higher order legal skills training in the penal system may shift the education decision to legal educational pursuits. (4) Redefining the legal and constitutional rights afforded felons could increase the probability of repeat apprehension and reduce the incentive to repeat offenses."
"An Asymmetrical Look at Air Force Human Capital Management: More Emphasis on Qualifications and Less on Rank","https://scispace.com/paper/an-asymmetrical-look-at-air-force-human-capital-management-u1ibqq2gl1","2006","","","Daniel M. Romano","","https://scispace.com/pdf/an-asymmetrical-look-at-air-force-human-capital-management-u1ibqq2gl1.pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses Human Capital Theory to argue rank is less important than qualifications for Air Force personnel; applies theory directly to military staff; lacks formal definition and measurement methods; provides conceptual scenario rather than empirical case; mentions increased enlisted education as a factor.",": This research explored an asymmetrical concept of personnel management, specifically whether status, rank, is an artificial barrier to employing qualified enlisted personnel in some company grade officer duties. It takes the approach under the Human Capital Theory and questions whether rank plays a roll in effective performance and whether eliminating rank as a criterion to employment, in some duties, can support Air Force transformation efforts, without negatively affecting culture (i.e. chain-of-command, customs and courtesies). It describes a concept where more emphasis is put on meeting the knowledge, education, experience, and training qualifications and the required rank be interchangeable between enlisted and officer. Key support factors include: increase in enlisted education level; reduction in end strength; undermanned career fields; and salary difference between enlisted and officer. The finding suggest status has little affect on one's ability to perform effectively and the extensive qualitative information indicates managing the knowledge personnel hold is the important aspect of human capital management. This concept is not intended to be a model of equality toward all airmen but attempts to increase the capability of the Air Force within the existing manpower constraints by putting the right person, in the right place, at the right time."
"Army Human Resources Development Strategy through Human Capital Approach","https://scispace.com/paper/army-human-resources-development-strategy-through-human-rp0jjxa5qe78","2025","Journal Article","","Sugeng Purwanto
Irfan Ilhamsyah","10.62567/ijosse.v1i1.603","https://e-jurnal.jurnalcenter.com/index.php/ijosse/article/download/603/525","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses human capital framework to design Army HR strategies, links education/training to soldier capability, offers reform recommendations, but lacks formal theory definition, measurement metrics, and comparative or historical analysis.","The focus of research on the statement is the strategy of developing human resources (HR) of the Army through a human capital approach in increasing the professionalism, capability, and effectiveness of military personnel to support the operational success of the Army in facing various security challenges. The purpose of this research is to analyze the Human Resource Development Strategy of the Indonesian Army through the Human Capital Approach. The method used in this research is descriptive qualitative with SWOT analysis tools and tree analysis. The theory used in this research is human capital. The results showed that the strategies used for HR development with a human capital approach are (1) Improving the quality of education and training of soldiers through evaluation and inclusive curriculum development. (2) Utilizing good education and training to improve soldiers' capabilities through an integrated and sustainable human capital approach. (3) Improving the professionalism of soldiers through merit-based personnel management system reform. (4) Improving soldiers' welfare by providing access to specialized higher education through the Defense University. (5) Improving transparency and efficiency through information and communication technology, keeping soldiers' focus on the main task of defense. By adopting a human capital approach, the Army is expected to improve the quality and capability of soldiers, so that they are ready to face future challenges and support the achievement of the organization's strategic goals. "
"Mapping human capital for self-employment: education for job creation—an alternative approach to youth unemployment","https://scispace.com/paper/mapping-human-capital-for-self-employment-education-for-job-26kyl2opcn","2011","","","Yukiko Yamamoto","","https://scispace.com/pdf/mapping-human-capital-for-self-employment-education-for-job-26kyl2opcn.pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses clear human capital definitions and links education investment to youth self‑employment, fitting target population criteria. Lacks measurement methods, concrete case studies, and comparative analysis; offers limited historical context and policy discussion.","A widely-suggested educational policy solution for youth unemployment is to increase employability; however, this approach tends to neglect an alternative path—that of education for job creation and self-employment. This study emphasizes the importance of this alternative strategy and calls for greater attention to it for two reasons: 1) increasing employability is no longer sufficient in today’s saturated labor market; and 2) the relationship between skills and successful entrepreneurship is still sketchy at best. 

This study investigates how education can play a role in creating one’s own job, and what the best way to foster self-employment competencies is. It is designed to help policy makers capture perspectives on education in relation to self-employment so that they can debate, design, and implement programs in the future. The study specifically focuses on how education, related to human and social capital, might play a role in the business creation process. 

The study employs social cartography both to select data for analysis and also to present the final findings of the study. Meta-study procedures were applied for the data analysis. The study found three types of human capital (basic, specific, and entrepreneurial) and two types of social capital (cognitive and structural). The findings from the data-analysis were synthesized and mapped on a time-line of business creation and the management process. This map shows that basic human capital is constantly necessary throughout the process; however, the importance of specific and entrepreneurial human capital shifts along with the progress of business creation. The most effective educational strategies also shift parallel with the type of human capital. The impact of social capital also shifts; cognitive social capital has more of an impact in earlier stages, while structural social capital affects the process more in later stages. 

The recommendations for policy implications and further research possibility were made based on what the map shows, and does not show. This theoretical study is an effort to elucidate the underlying structures of human and social capital in the job creation process in an attempt to strengthen entrepreneurial education policy and programs in the future."
"Investment in Human Capital during Incarceration and Employment Prospects of Prisoners","https://scispace.com/paper/investment-in-human-capital-during-incarceration-and-3gse1kknm4","2009","Posted Content","Research Papers in Economics","Margaret Giles
Anh Le","","","- **Relevance Score:** 54/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses WA prisoner survey to show education as investment, links outcomes to human capital, provides case study, but lacks formal theory definition and broader comparisons.","The costs of incarceration and recidivism to the community are substantial. These costs not only include the direct costs of imprisonment but also the opportunity costs arising from depletion of human capital and loss of output. Policy makers have emphasised the importance of rehabilitating prisoners as a way of reducing recidivism. Consequently, the management of prisoners has changed, with more prisoners being encouraged to undertake some form of education, training and/or work during their incarceration in conjunction with any behavioural management programmes. This paper examines, using the 2003 Survey of Prisoners in Western Australia, the decision of prisoners to invest in education/training during their prison term and the potential labour market outcomes of this investment. The results suggest that prisoners use education/training to improve their skills in preparation for release from prison. From this perspective it can be argued that these prisoners see education/training as an investment in human capital rather than consumption. In addition, the decision to participate in either education or training is non-random and varies across the time remaining on the prison sentence, thus suggesting prisoners view education and training as different activities. However, the results show the expected benefit prisoners place on education and training is similar."
"Does prison-based adult basic education improve postrelease outcomes for male prisoners in Florida?","https://scispace.com/paper/does-prison-based-adult-basic-education-improve-postrelease-oq058olu4t","2013","Journal Article","Crime & Delinquency","Rosa M. Cho
John H. Tyler","10.1177/0011128710389588","https://pmc.ncbi.nlm.nih.gov/articles/PMC4288462/pdf/nihms634205.pdf","- **Relevance Score:** 54/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses Florida prison ABE data to show earnings gains, providing a concrete case for prisoners; treats education as capital investment. Lacks explicit theory definition, offers limited measurement discussion, modest policy notes, no historical or comparative analysis.","The authors use administrative data from Florida to determine the extent to which prison-based adult basic education (ABE) improves inmate’s postrelease labor market outcomes, such as earnings and employment. Using two nonexperimental comparison groups, the authors find evidence that ABE participation is associated with higher postrelease earnings and employment rates, especially for minorities. The authors find that the relationship is the largest for ABE participants who had uninterrupted ABE instruction and for those who received other education services. However, the results do not find any positive effects of ABE participation on reducing recidivism."
"Metody pomiaru wartości kapitału ludzkiego","https://scispace.com/paper/metody-pomiaru-wartosci-kapitalu-ludzkiego-3uubxjegir","2015","Journal Article","","Ireneusz Miciuła
Krzysztof Miciuła","10.18276/WPE.2015.11-01","https://scispace.com/pdf/metody-pomiaru-wartosci-kapitalu-ludzkiego-3uubxjegir.pdf","- **Relevance Score:** 54/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Provides clear definition and extensive discussion of measurement methods; lacks focus on military, prisoners, or education‑investment case studies; includes limited generic examples and brief historical notes.","Wspolcześnie wiedza i technologia stanowi podstawowy czynnik dynamizujący rozwoj spoleczno-gospodarczy. Kluczowe znaczenie dla rozwoju zyskal kapital ludzki, stając sie glownym czynnikiem sukcesu. W artykule podjeto probe wyeksponowania istoty i elementow skladowych kapitalu ludzkiego. Celem opracowania jest klasyfikacja i analiza metod pomiaru wartości kapitalu ludzkiego wraz z jednoczesnym ukazaniem dylematow oraz perspektyw rozwoju metod wyceny (szacowania)."
"人力资本:概念、理论、方法","https://scispace.com/paper/ren-li-zi-ben-gai-nian-li-lun-fang-fa-gcwftxc77ing","","","","阙祥才
唐永木","10.3969/j.issn.1007-9378.2008.22.077","","- **Relevance Score:** 53/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Defines human capital and outlines four measurement approaches; mentions education indicators but lacks target‑group focus, case studies, or policy discussion.","人力资本是指存在于人体中并具有经济价值的后天获得的知识、技能、健康、迁移能力、思想观念等质量性因素的总和。西方人力资本理论从人力资本投资与收益、人力资本与经济增长关系的关注逐步转向对人力资本产权、人力资本配置等相关问题的强调。国内人力资本的研究进展迅速,但多属应用性研究,基础理论成果较少。人力资本计量可分为基于成本、基于收入、基于教育指标和基于直接能力四种方法。"
"Educational investments to guarantee graduates' human capital effectiveness","https://scispace.com/paper/educational-investments-to-guarantee-graduates-human-capital-4wrf177njg","2013","Journal Article","Advances in Latent Variables - Methods, Models and Applications","Cristiana Martini","","","- **Relevance Score:** 53/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses graduates' job outcomes to gauge HC effectiveness; proposes novel measurement beyond earnings; focuses on education investment impacts; includes empirical analysis of investment choices; lacks formal theory definition, historical overview, and cross‑group comparison.","In spite of its wide definition, most human capital (HC) measurement approaches only focus on monetary or achievement indicators. The present contribution proposes a different approach to measure the effectiveness of graduates’ HC at an individual level, which includes several aspects of the graduate’s job situation. Then, a set of educational investment choices is analysed in order to determine if, and to what extent, they can affect the effectiveness of graduates’ HC in the labour market."
"Review of Human Capital Theory","https://scispace.com/paper/review-of-human-capital-theory-2pr011qvj2","2020","Journal Article","International Journal of Advance Research and Innovative Ideas in Education","Hao-jian Dui","","https://scispace.com/pdf/review-of-human-capital-theory-2pr011qvj2.pdf","- **Relevance Score:** 53/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Provides a thorough definition and review of human capital theory, outlines measurement approaches, and includes a historical overview. Mentions education investment generally but lacks specific target‑group applications, case studies, or comparative analysis.","The human capital theory is one of the most important breakthroughs in economics. With the continuous development of human capital theory, its important influence on social development has gradually been understood by people, and it has also helped many countries achieve economic progress. The practical application of human capital theory is based on the measurement of human capital. This article reviews the relevant literature of human capital, from two aspects: theory and method."
"The Implications of the Economic Theory of Human Capital for Personnel Management","https://scispace.com/paper/the-implications-of-the-economic-theory-of-human-capital-for-36oilu03pr","1981","Journal Article","Personnel Review","Eric G. Flamholtz
John M. Lacey","10.1108/EB055429","","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Defines human capital and links training to productivity; mentions measurement ideas; focuses on general personnel, not military/prisoners; offers HR examples; discusses education/training impacts; includes brief historical notes; provides HR policy recommendations; lacks comparative group analysis.","Research in labour economics during the past several years has led to the development of the theory of human capital. This theory deals with a variety of issues concerning the productivity of people as the result of their human capital."
"Prison-based education and re-entry into the mainstream labor market","https://scispace.com/paper/prison-based-education-and-re-entry-into-the-mainstream-25934cp2l5","2004","Report","National Bureau of Economic Research","John H. Tyler
Jeffrey R. Kling","10.3386/W12114","https://www.nber.org/system/files/working_papers/w12114/w12114.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses fixed‑effects earnings regressions to measure GED program returns; provides an empirical case study of prison education; links education investment to post‑release earnings for inmates, especially minorities, but lacks explicit human‑capital theory definition, broader historical context, or cross‑group comparisons.","We estimate the post-release economic effects of participation in prison-based General Educational Development (GED) programs using a panel of earnings records and a rich set of individual information from administrative data in the state of Florida. Fixed effects estimates of the impact of participating in the GED education program show post-release quarterly earnings gains of about 15 percent for program participants relative to observationally similar nonparticipants. We also show, however, that these earnings gains accrue only to racial/ethnic minority offenders and any GED-related earnings gains for this group seem to fade in the third year after release from prison. Estimates comparing offenders who obtained a GED to those who participated in GED-related prison education programs but left prison without a GED show no systematic evidence of an independent impact of the credential itself on post-release quarterly earnings."
"The Production of Human Capital and the Life of Earnings","https://scispace.com/paper/the-production-of-human-capital-and-the-life-of-earnings-1tb9xa43t4","1994","","","Jacob Mincer","10.7916/D8VT20MW","https://scispace.com/pdf/the-production-of-human-capital-and-the-life-of-earnings-1tb9xa43t4.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses Ben-Porath model to define human capital concepts; employs earnings regressions and wage profiles for measurement; lacks focus on military, prisoners, or education policy groups; provides US wage data as illustrative case; links schooling/training to capital accumulation; references 1967 model for historical context.","After a brief summary of Ben Porath's 1967 model approach, I enquire into the empirical validity and some implications of his insights. Section 2 is an attempt to answer the question: Are the shapes and magnitudes of growth in wage profiles largely attributable to human capital investments? Section 3 tests the proposition that over the working age capacity wages (i.e. wages before netting out investment) decline before observed wages do. Implied timing of labor supply provides the test. The findings shed light on developments in the U.S. labor market in the past several decades. In section 4 some implications are drawn from Ben-Porath's model for interpersonal differences and historical changes in life-cycle human capital investments. The positive correlation between schooling and training, predicted by the model is found in cross-sections. It also shows up in parallel movements in schooling and training in the 1980's as the demand for human capital increased. Once again, observed U.S. patterns are highlighted."
"The Production of Human Capital and the Lifecycle of Earnings: Variations on a Theme","https://scispace.com/paper/the-production-of-human-capital-and-the-lifecycle-of-2f5dwr3ib8","1994","Posted Content","Social Science Research Network","Jacob Mincer
Jacob Mincer","","https://papers.ssrn.com/sol3/Delivery.cfm/nber_w4838.pdf?abstractid=233691&mirid=1&type=2","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses Porath model to define human capital and test earnings regressions; analyzes schooling/training links; provides US wage profile case study but lacks specific target groups, policy advice, or cross‑group comparisons.","After a brief summary of Ben Porath's 1967 model approach, I enquire into the empirical validity and some implications of his insights. Section 2 is an attempt to answer the question: Are the shapes and magnitudes of growth in wage profiles largely attributable to human capital investments? Section 3 tests the proposition that over the working age capacity wages (i.e. wages before netting out investment) decline before observed wages do. Implied timing of labor supply provides the test. The findings shed light on developments in the U.S. labor market in the past several decades. In section 4 some implications are drawn from Ben Porath's model for interpersonal differences and historical changes in life-cycle human capital investments. The positive correlation between schooling and training, predicted by the model is found in cross-sections. It also shows up in parallel movements in schooling and training in the 1980's as the demand for human capital increased. Once again, observed U.S. patterns are highlighted."
"An Empirical Analysis of the Risk Properties of Human Capital Returns","https://scispace.com/paper/an-empirical-analysis-of-the-risk-properties-of-human-2nmtcqhxoc","2003","Journal Article","The American Economic Review","Ignacio Palacios-Huerta","10.1257/000282803322157197","https://scispace.com/pdf/an-empirical-analysis-of-the-risk-properties-of-human-2nmtcqhxoc.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses earnings regressions to measure returns; provides demographic case studies of college vs. high‑school returns; analyzes education as a risky asset; lacks formal theory definition, military/prisoner focus, and historical overview; mentions market frictions implying modest policy relevance; compares sex/race groups rather than target populations.","Presents an empirical analysis of the risk properties of human capital returns. Discussion on measures of human capital returns; Description of the mean-variance spanning methodology; Information on real human capital returns and U.S. equity index return for 1964 to 1996."
"A Dynamic Model of Differential Human Capital and Criminal Activity","https://scispace.com/paper/a-dynamic-model-of-differential-human-capital-and-criminal-3raf6s7waj","2005","Journal Article","Economica","Naci H. Mocan
Naci H. Mocan
Stephen C. Billups
Jody Overland","10.1111/J.1468-0335.2005.00437.X","https://scispace.com/pdf/a-dynamic-model-of-differential-human-capital-and-criminal-3raf6s7waj.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses a dynamic model linking legal and criminal human capital to prisoner behavior; offers policy insights on sanctions and rehabilitation, but lacks measurement methods, historical overview, and comparative group analysis.","This paper presents a dynamic model of criminal activity. Individuals are endowed with legal and criminal human capital. Potential incomes in legal and criminal sectors depend on the level of the relevant human capital, the rate of return and random shocks. Human capital can be enhanced by participating in both sectors. Legal human capital can also be enhanced through investment. Human capital is subject to depreciation. Individuals maximize expected discounted lifetime utility, which depends on consumption. The model allows analyses of the effects of recessions, imprisonment/rehabilitation scenarios, sanctions and returns to human capital. New insights, such as hysteresis in criminal behaviour, are obtained."
"A National strategy for lifelong learning","https://scispace.com/paper/a-national-strategy-for-lifelong-learning-31k44zz2q5","1997","Book","","Frank Coffield","","https://scispace.com/pdf/a-national-strategy-for-lifelong-learning-31k44zz2q5.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses extensive discussion of human capital concepts and investment metaphor; mentions econometric modeling and cross‑country schooling outcomes; lacks focus on military, prisoners, or similar groups; provides historical context and some policy critique.",""
"The Effectiveness of Investment in Human Capital in Poland and Ukraine: Directions for Growth Based on Comparative Analysis","https://scispace.com/paper/the-effectiveness-of-investment-in-human-capital-in-poland-383p2nur","2023","Journal Article","Zeszyty Naukowe","Olena Brintseva","10.15678/znuek.2023.0999.0102","https://scispace.com/pdf/the-effectiveness-of-investment-in-human-capital-in-poland-383p2nur.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses Poland‑Ukraine comparison to illustrate investment impacts; details four measurement methods; emphasizes education’s role; lacks military/prisoner focus and explicit policy guidance.","Objective : To perform a comparative analysis of the effectiveness of investments in human capital in Poland and Ukraine; to identify priority directions of implementing the Polish experience for increasing the effectiveness of investments in education, healthcare and the social and labour sphere. Research Design &amp; Methods : Cost method was used to determine the value of human capital, which is based on an assessment of human capital investment in three areas – education costs, enterprise spending on advanced training, and healthcare costs – and adjusted by the human capital efficiency ratio. Comparative analysis is also used to characterise the situation in Ukraine and Poland in key areas of human capital reproduction. Findings : The results indicate that the efficiency of human capital in Ukraine is low. This is caused primarily by negative economic dynamics, but also by fairly low public spending on education and healthcare. Implications / Recommendations : A review of the literature shows that implementation of the Polish experience could boost the effectiveness of human capital investments in Ukraine. Conducting a comparative analysis will make it possible to identify the main areas and directions of their implementation. Contribution : The article contributes to the scientific literature on evaluating the effectiveness of human capital investment. It also identifies current shortcomings in the creation, development, use and preservation of human capital, and which should be improved in such areas as education, healthcare and the social and labour sphere. "
"Human capital measurement: a survey","https://scispace.com/paper/human-capital-measurement-a-survey-2fwfa6v6fk","2010","Journal Article","Journal of Economic Surveys","Giuseppe Folloni
Giorgio Vittadini","10.1111/J.1467-6419.2009.00614.X","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-6419.2009.00614.x","- **Relevance Score:** 51/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Provides definition, extensive measurement review, education‑investment focus, and historical overview; lacks specific population applications, case studies, policy guidance, and comparative analysis.","After a short history of the concept of human capital (henceforth HC) in economic thought (Section 1), this study presents the two main methods for estimating the value of the stock of HC – the retrospective and prospective one – with a review of the models proposed (Section 2). These methods are linked both to the theory of HC investment as a rational choice (Section 3), the literature analysing the contribution of HC investment to economic growth and the HC estimating method through educational attainment (Section 4). The more recent literature on HC as a latent variable is also assessed (Section 5) and a new method of estimation where HC is seen both as an unknown function of formative indicators and as a ‘latent effect’ underlying earned income is proposed (Section 6). Section 7 concludes."
